,how_many,0.0,0.001,5.0,15.001
38806,36,1,0,0,0
38819,8,1,0,0,0
38971,2,0,0,1,0
39040,1,0,0,0,1
39123,30,1,0,0,0
39136,4,1,0,0,0
39321,2,0,0,1,0
39343,9,0,0,1,0
39361,11,0,1,0,0
39387,1,0,1,0,0
39406,1,1,0,0,0
39426,1,1,0,0,0
39543,2,1,0,0,0
39612,4,0,0,1,0
39617,2,0,0,1,0
39630,1,0,0,1,0
39636,4,0,0,0,1
39654,1,0,0,0,1
39663,1,0,0,0,1
39671,5,0,0,1,0
39693,11,0,1,0,0
39696,2,1,0,0,0
39705,42,1,0,0,0
39719,50,1,0,0,0
39736,4,1,0,0,0
39802,3,0,0,0,0
39811,4,0,1,0,0
39814,5,0,1,0,0
39819,9,0,1,0,0
39823,6,0,0,1,0
39835,7,0,0,1,0
39839,7,0,0,1,0
39842,4,0,0,0,1
39848,4,0,0,0,1
39852,8,0,0,0,1
39855,5,0,0,0,1
39857,5,0,0,0,0
39859,6,0,0,1,0
39862,6,0,1,0,0
39870,1,0,0,0,0
39873,6,1,0,0,0
40041,5,0,0,0,1
40044,4,0,0,0,1
40053,1,0,0,0,1
